qq,creditor,debtor,amount
236,Spain,Armenia,1
237,Spain,Italy,102
238,Spain,Ecuador,1
239,Spain,South Africa,1
240,Spain,Australia,1
241,Spain,Israel,1
242,Spain,India,15
243,Spain,Indonesia,5
244,Spain,Syria,2
245,Spain,Morocco,5
246,Spain,El Salvador,1
247,Spain,US,17
248,Spain,South Korea,4
249,Spain,Mexico,34
250,Spain,UK,18
251,Spain,Austria,1
252,France,Bangladesh,1
253,France,Belgium,7
254,France,Venezuela,1
255,France,Germany,4
256,France,Japan,32
257,France,Jamaica,1
258,France,Algeria,14
259,France,Brazil,1
260,France,Greece,13
261,France,Russian Federation,11
262,France,Lebanon,10
263,France,Portugal,4
264,France,Malta,1
265,France,Turkey,8
266,France,Nigeria,2
267,France,Tunisia,4
268,France,Cuba,1
269,France,Thailand,7
270,France,Peru,5
271,France,Nepal,1
272,France,Pakistan,1
273,France,Philippines,5
274,France,Romania,6
275,France,Poland,1
276,France,Ivory Coast,7
277,France,Switzerland,6
278,France,China,18
279,France,Afghanistan,1
280,France,Iraq,2
281,France,Egypt,5
282,France,Islamic Republic of Iran,3
283,France,Italy,121
284,France,Vietnam,3
285,France,South Africa,1
286,France,Israel,2
287,France,India,22
288,France,Ethiopia,2
289,France,Indonesia,9
290,France,Spain,16
291,France,Morocco,21
292,France,Ukraine,1
293,France,Cambodia,1
294,France,US,30
295,France,South Korea,21
296,France,Malaysia,2
297,France,Mexico,6
298,France,UK,35
299,France,Austria,1
300,Canada,Bangladesh,3
301,Canada,Belgium,8
302,Canada,France,71
303,Canada,Ukraine,2
304,Canada,Germany,9
305,Canada,Japan,55
306,Canada,Hungary,6
307,Canada,Jamaica,30
308,Canada,Algeria,3
309,Canada,Greece,55
310,Canada,Russian Federation,12
311,Canada,Lebanon,41
312,Canada,Portugal,3
313,Canada,Malta,1
314,Canada,Taiwan,1
315,Canada,Turkey,25
316,Canada,Nigeria,10
317,Canada,Tunisia,4
318,Canada,Lithuania,4
319,Canada,Cuba,2
320,Canada,Thailand,18
321,Canada,Netherlands,8
322,Canada,Nepal,2
323,Canada,Pakistan,13
324,Canada,Philippines,36
325,Canada,Romania,2
326,Canada,Egypt,6
327,Canada,Poland,3
328,Canada,Ivory Coast,1
329,Canada,Switzerland,6
330,Canada,Colombia,2
331,Canada,China,159
332,Canada,Afghanistan,5
333,Canada,Iraq,6
334,Canada,Yemen,3
335,Canada,Islamic Republic of Iran,2
336,Canada,Armenia,7
337,Canada,Italy,168
338,Canada,Vietnam,6
339,Canada,South Africa,4
340,Canada,Austria,5
341,Canada,India,103
342,Canada,Ethiopia,5
343,Canada,Ireland,3
344,Canada,Indonesia,13
345,Canada,Spain,21
346,Canada,Peru,3
347,Canada,Syria,3
348,Canada,Morocco,3
349,Canada,Uzbekistan,1
350,Canada,Myanmar,2
351,Canada,Singapore,3
352,Canada,Israel,11
353,Canada,Mongolia,5
354,Canada,US,194
355,Canada,South Korea,99
356,Canada,Saudi Arabia,1
357,Canada,Malaysia,8
358,Canada,Mexico,49
359,Canada,UK,90
360,Germany,Bangladesh,1
361,Germany,Belgium,4
362,Germany,France,27
363,Germany,Mongolia,2
364,Germany,Japan,6
365,Germany,Hungary,5
366,Germany,Algeria,3
367,Germany,Greece,16
368,Germany,Russian Federation,14
369,Germany,Lebanon,15
370,Germany,Portugal,2
371,Germany,Turkey,25
372,Germany,Nigeria,9
373,Germany,Lithuania,2
374,Germany,Thailand,15
375,Germany,Peru,1
376,Germany,Nepal,4
377,Germany,Pakistan,1
378,Germany,Philippines,2
379,Germany,Romania,4
380,Germany,Poland,8
381,Germany,Switzerland,6
382,Germany,Colombia,1
383,Germany,China,38
384,Germany,Afghanistan,2
385,Germany,Iraq,2
386,Germany,Yemen,1
387,Germany,Egypt,10
388,Germany,Islamic Republic of Iran,2
389,Germany,Italy,76
390,Germany,Ecuador,1
391,Germany,South Africa,2
392,Germany,Israel,11
393,Germany,India,43
394,Germany,Vietnam,4
395,Germany,Ethiopia,2
396,Germany,Indonesia,7
397,Germany,Spain,6
398,Germany,Syria,1
399,Germany,Morocco,3
